"","Env","Df","N","MI","MI2.5","PPI","summedMI","summedMI2.5","PPI.MI","BI","EI","SI","CI","NCR","SR","rarefy","H","D","J","H1"
"1","age_class","4","1.86","6.04","4.06","15.29","4.3","2.89","13.65","2.78","4.39","1.86","1.94","5.17","1.83","2.43","17.41","14.99","23.09","13.32"
"2","samcam","1","14.87","0.92","1.23","5.96","1.25","1.69","0","0.47","0.37","0.95","0.6","0.35","2","1.73","10.26","9.45","7.72","5.28"
"3","pH","1","1.61","0.68","0.33","1.53","0.13","0.1","1.39","0.18","0.08","0.4","0.31","0.52","0.04","0.01","0.36","0.04","0.7","0.63"
"4","c","1","4.92","0.01","0.13","1.09","0","0.29","0.69","0.75","0.53","0.04","3.38","4.18","0.59","0.53","0.27","0.01","0","0.17"
"5","mc","1","13.04","0.77","1.05","0.07","0.54","0.84","0.64","2.73","0.47","0.85","3.96","2.84","0.72","0.49","0.39","0.04","0.16","0.11"
"6","clay","1","5.44","0.41","0.07","5.51","0.24","0.01","0.24","1.6","1.61","0.35","0.12","2.05","2.45","3.05","3.89","2.02","3.26","4.31"
"7","intensity","1","1.93","1.68","0.47","8.66","0.3","1","7.43","0.09","2.47","0.33","1.98","10.71","0","0","0.75","0.44","0.2","1.21"
"8","fertilisation","1","4.69","0.05","1.13","2.24","0.37","1.07","0.18","1.27","1.24","0.49","3.47","6.08","0.29","0.14","1.85","2.68","2.27","0.93"
"9","ata1","1","0","0","0.83","4.13","0.13","1.2","1.18","7.38","6.35","0.61","7.2","1.43","0.5","0.56","8.07","7.07","3.94","5.27"
"10","prec1","1","0.18","0.89","1.16","0.2","0.27","0.82","0.69","0.75","0.06","1.55","0.32","0.4","0.02","0","0.02","0.14","0","0.13"
"11","age_class:samcam","4","1.72","3.33","3.06","7.06","5.45","4.94","1.63","2.62","4.15","1.19","2.74","1.41","2.34","3.18","56.87","71.98","112.86","35.63"
