"","Env","DF","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","3","5.66","0.129","18.95","0","12.91","0.005","8.85","0.031","2.27","0.519","1.61","0.657","11.99","0.007"
"3","samcam","1","2.86","0.091","2.75","0.097","97.66","0","21.41","0","11.35","0.001","6.07","0.014","0.73","0.393"
"4","age_class:samcam","3","10.52","0.015","4.61","0.202","58.92","0","63.34","0","19.79","0","11.41","0.01","1.94","0.584"
"5","R2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R2c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","X","X","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal"
"","Env","DF","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","age_class","3","5.66","0.129","18.95","0","12.91","0.005","8.85","0.031","2.27","0.519","1.61","0.657","11.99","0.007"
"3","samcam","1","2.86","0.091","2.75","0.097","97.66","0","21.41","0","11.35","0.001","6.07","0.014","0.73","0.393"
"4","age_class:samcam","3","10.52","0.015","4.61","0.202","58.92","0","63.34","0","19.79","0","11.41","0.01","1.94","0.584"
"5","R2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R2c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","X","X","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal"
"","Factor1","Factor1","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","age_class","samcam","response","group","response","group","response","group","response","group","response","group","response","group","response","group"
"2","B_Sp_young","2","22.7629436839962"," 1","12.1851153911089"," 1 ","2.32144602842664"," 1 ","1.01943857924315"," 123","2.00255776084901"," 1 ","2.35254640950212"," 1 ","1419.6666666667"," 1"
"3","C_Sp_int1","2","17.8400991850658"," 1","13.9979452998124"," 12","0.967238062063434"," 1 ","0.403301323276917"," 12 ","1.90389010323987"," 12","2.30518586728673"," 12","1882.66666666718"," 1"
"4","D_Sp_int2","2","25.2865483507628"," 1","17.688428631568"," 12","3.4315201398"," 12","1.85442409950747"," 1 3","2.13915734761946"," 12","2.48537887173518"," 12","768.666666666663"," 1"
"5","E_Sp_old","2","22.0363088664002"," 1","26.57224658246"," 12","3.01431385061259"," 1 ","1.11515644136473"," 12 ","2.31582141011749"," 12","2.57144971635495"," 12","1028.66666666853"," 1"
"6","B_Sp_young","4","9.29432013769389"," 1","8.24325957554747"," 1 ","2.55555105345758"," 12","0.963034843606382"," 123","2.7773207332369","  2","2.99199196968034","  2","1767.33333473086"," 1"
"7","C_Sp_int1","4","38.6346544463888"," 1","50.5973619089587","  2","0.869239622175769"," 1 ","0.889878451782426"," 123","2.16092628428605"," 12","2.32480653357893"," 12","1701.66666671403"," 1"
"8","D_Sp_int2","4","26.0883244566613"," 1","24.7840602070425"," 12","1.63510545419237"," 1 ","0.50489317011683","  2 ","2.00924899231986"," 12","2.58985975779439"," 12","1005"," 1"
"9","E_Sp_old","4","27.8013165887135"," 1","34.9063074521502","  2","9.01315950887272","  2","3.4962521985392","   3","2.30701567022447"," 12","2.53687478431853"," 12","1410.00000000056"," 1"
"","contrast","samcam","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","B_Sp_young - C_Sp_int1","2","0.24","0.835","-0.14","0.993","0.88","0.36","0.93","0.514","0.05","0.986","0.02","0.999","-0.28","0.584"
"2","B_Sp_young - D_Sp_int2","2","-0.11","0.959","-0.37","0.856","-0.39","0.836","-0.6","0.67","-0.07","0.967","-0.05","0.978","0.61","0.355"
"3","B_Sp_young - E_Sp_old","2","0.03","0.999","-0.78","0.163","-0.26","0.939","-0.09","0.999","-0.15","0.749","-0.09","0.915","0.32","0.712"
"4","C_Sp_int1 - D_Sp_int2","2","-0.35","0.602","-0.23","0.97","-1.27","0.093","-1.53","0.114","-0.12","0.836","-0.08","0.942","0.9","0.056"
"5","C_Sp_int1 - E_Sp_old","2","-0.21","0.888","-0.64","0.598","-1.14","0.148","-1.02","0.498","-0.2","0.514","-0.11","0.843","0.6","0.134"
"6","D_Sp_int2 - E_Sp_old","2","0.14","0.918","-0.41","0.813","0.13","0.992","0.51","0.821","-0.08","0.94","-0.03","0.994","-0.29","0.893"
"7","B_Sp_young - C_Sp_int1","4","-1.42","0.015","-1.81","0.001","1.08","0.331","0.08","0.999","0.25","0.274","0.25","0.227","0.04","0.998"
"8","B_Sp_young - D_Sp_int2","4","-1.03","0.148","-1.1","0.111","0.45","0.776","0.65","0.706","0.32","0.122","0.14","0.698","0.56","0.206"
"9","B_Sp_young - E_Sp_old","4","-1.1","0.108","-1.44","0.01","-1.26","0.024","-1.29","0.104","0.19","0.555","0.17","0.603","0.23","0.758"
"10","C_Sp_int1 - D_Sp_int2","4","0.39","0.079","0.71","0.127","-0.63","0.765","0.57","0.767","0.07","0.959","-0.11","0.847","0.53","0.271"
"11","C_Sp_int1 - E_Sp_old","4","0.33","0.157","0.37","0.641","-2.34","0.001","-1.37","0.062","-0.07","0.966","-0.09","0.913","0.19","0.851"
"12","D_Sp_int2 - E_Sp_old","4","-0.06","0.986","-0.34","0.723","-1.71","0.001","-1.94","0.012","-0.14","0.785","0.02","0.999","-0.34","0.691"
"","contrast","age_class","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","2 - 4","B_Sp_young","0.9","0.07","0.39","0.488","-0.1","0.544","0.06","0.834","-0.33","0","-0.24","0","-0.22","0.337"
"2","2 - 4","C_Sp_int1","-0.77","0.003","-1.28","0.016","0.11","0.86","-0.79","0.123","-0.13","0.083","-0.01","0.9","0.1","0.613"
"3","2 - 4","D_Sp_int2","-0.03","0.873","-0.34","0.506","0.74","0.012","1.3","0","0.06","0.451","-0.04","0.506","-0.27","0.517"
"4","2 - 4","E_Sp_old","-0.23","0.259","-0.27","0.366","-1.1","0","-1.14","0","0","0.951","0.01","0.824","-0.32","0.299"
"","Env","DF","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","X","X","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value","CHI2","p-value"
"2","(Intercept)","1","400.58","0","83.21","0","6.87","0.009","0","0.959","42.74","0","74.28","0","1664.89","0"
"3","age_class","3","1.6","0.66","4.61","0.202","6.11","0.106","5.05","0.168","2.13","0.546","0.84","0.839","9.45","0.024"
"4","samcam","1","3.29","0.07","0.48","0.488","0.37","0.544","0.04","0.834","27.57","0","16.97","0","0.92","0.337"
"5","age_class:samcam","3","10.52","0.015","4.61","0.202","58.92","0","63.34","0","19.79","0","11.41","0.01","1.94","0.584"
"6","R2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","R2c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","X","X","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal"
"","Env","DF","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","X","X","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value"
"2","age_class","4","1.56","0.816","2.2","0.698","6.98","0.137","5.35","0.253","3.8","0.433","1.85","0.764","24.17","0"
"3","R2m",NA,NA,"0.107",NA,"0.145",NA,"0.368",NA,"0.308",NA,"0.226",NA,"0.124",NA,"0.668"
"4","R2c",NA,NA,"0.107",NA,"0.145",NA,"0.368",NA,"0.308",NA,"0.226",NA,"0.124",NA,"0.668"
"5","X","X","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal"
"","Env","DF","BI","BI","CI","CI","PPI","PPI","PPI.1","PPI.1","MI","MI","MI25","MI25","N","N"
"1","X","X","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value","LR-CHI2","p-value"
"2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","R2m",NA,NA,"0.107",NA,"0.145",NA,"0.368",NA,"0.308",NA,"0.226",NA,"0.124",NA,"0.668"
"4","R2c",NA,NA,"0.107",NA,"0.145",NA,"0.368",NA,"0.308",NA,"0.226",NA,"0.124",NA,"0.668"
"5","X","X","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal","log-normal"
"","Contrast","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value"
"1","A_Cm - avg(B_Sp_young,C_Sp_int1,D_Sp_int2,E_Sp_old)","5.542","0.387","-7.308","0.521","0.106","0.655","0.146","0.419","-0.151","0.3","-0.07","0.726","-6.867","0"
"","Contrast","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value","estimate","p-value"
"1","B_Sp_young - A_Cm","-9.94","0.721","-2.307","0.994","0.545","0.807","0.098","0.976","0.278","0.411","0.25","0.712","4.533","0.114"
"2","C_Sp_int1 - A_Cm","0.333","1","10.05","0.794","-1.238","0.4","-0.558","0.372","-0.062","0.978","-0.147","0.916","9.2","0"
"3","D_Sp_int2 - A_Cm","-6.123","0.892","6.473","0.922","-0.377","0.949","-0.272","0.852","0.148","0.824","0.08","0.979","8.2","0"
"4","E_Sp_old - A_Cm","-6.437","0.88","15.017","0.568","0.645","0.724","0.148","0.937","0.238","0.541","0.097","0.967","5.533","0.035"
