"","contrast","samcam","BI","BI","SI","SI","EI","EI","CI","CI","MI","MI","PPI","PPI","MI25","MI25","sigmaMI","sigmaMI","sigmaMI25","sigmaMI25","PPI.1","PPI.1","SR","SR","rarefy","rarefy","H","H","D","D","J","J","H1","H1","N","N"
"1","B_Sp_young - C_Sp_int1","2","4.08","0.937","5.66","0.992","-1.18","1","-20.55","0.633","0.14","0.971","1.5","0.93","0.11","0.988","0.29","0.62","0.16","0.878","0.58","0.954","0","1","0.16","0.999","-0.16","0.917","-0.07","0.87","-0.07","0.887","-0.94","0.902","-463","0.719"
"2","B_Sp_young - D_Sp_int2","2","-2.52","0.977","-11.23","0.941","3.36","0.992","-12","0.894","-0.11","0.987","-0.62","0.996","-0.08","0.994","0.13","0.942","0.04","0.997","-1.4","0.613","0.33","0.993","-0.03","1","0.15","0.935","0.09","0.797","0.05","0.957","0.41","0.991","651","0.467"
"3","B_Sp_young - E_Sp_old","2","0.73","0.999","-11.86","0.931","14.43","0.637","-20.66","0.63","-0.29","0.811","-1.51","0.929","-0.16","0.96","-0.53","0.199","-0.33","0.427","-0.63","0.945","1.33","0.723","1.39","0.57","0.5","0.221","0.21","0.151","0.18","0.323","2.18","0.416","391","0.808"
"4","C_Sp_int1 - D_Sp_int2","2","-6.6","0.786","-16.89","0.83","4.54","0.981","8.55","0.958","-0.25","0.869","-2.12","0.875","-0.19","0.939","-0.16","0.9","-0.11","0.947","-1.99","0.331","0.33","0.993","-0.19","0.998","0.31","0.621","0.16","0.368","0.12","0.622","1.35","0.764","1114","0.09"
"5","C_Sp_int1 - E_Sp_old","2","-3.35","0.963","-17.52","0.814","15.61","0.579","-0.11","1","-0.43","0.566","-3.01","0.636","-0.27","0.848","-0.82","0.032","-0.49","0.148","-1.21","0.713","1.33","0.723","1.23","0.661","0.66","0.074","0.28","0.038","0.25","0.102","3.12","0.149","854","0.246"
"6","D_Sp_int2 - E_Sp_old","2","3.25","0.953","-0.64","1","11.07","0.795","-8.66","0.956","-0.18","0.942","-0.89","0.989","-0.08","0.995","-0.66","0.089","-0.37","0.331","0.78","0.901","1","0.859","1.42","0.554","0.36","0.493","0.13","0.548","0.13","0.594","1.77","0.585","-260","0.932"
"7","B_Sp_young - C_Sp_int1","4","-28.61","0.006","27.58","0.528","4.98","0.975","-24.08","0.617","0.67","0.207","2.19","0.866","0.71","0.204","0.22","0.797","0.4","0.271","0.2","0.998","0.67","0.952","-0.13","0.999","-0.11","0.979","-0.07","0.914","-0.06","0.959","-1.59","0.664","65.67","0.999"
"8","B_Sp_young - D_Sp_int2","4","-16.07","0.152","10.47","0.951","-3.54","0.991","-13.41","0.901","0.8","0.163","1.36","0.947","0.45","0.559","0.27","0.685","0.26","0.613","0.35","0.989","-0.33","0.993","-2.09","0.24","-0.39","0.537","-0.12","0.682","-0.15","0.591","-3.3","0.118","762.33","0.335"
"9","B_Sp_young - E_Sp_old","4","-17.78","0.101","9.45","0.963","0.61","1","-25.29","0.581","0.47","0.482","-7.82","0.037","0.48","0.504","-0.26","0.691","0.1","0.961","-3.4","0.039","0","1","-0.97","0.796","-0.1","0.987","-0.03","0.991","-0.04","0.989","-1.55","0.679","357.33","0.846"
"10","C_Sp_int1 - D_Sp_int2","4","12.55","0.238","-17.12","0.824","-8.52","0.893","10.67","0.922","0.12","0.985","-0.83","0.991","-0.26","0.87","0.06","0.996","-0.14","0.904","0.16","0.999","-1","0.859","-1.96","0.29","-0.28","0.681","-0.05","0.947","-0.09","0.805","-1.72","0.61","696.67","0.41"
"11","C_Sp_int1 - E_Sp_old","4","10.83","0.35","-18.13","0.799","-4.36","0.983","-1.21","1","-0.2","0.922","-10","0.016","-0.22","0.908","-0.48","0.249","-0.3","0.503","-3.6","0.028","-0.67","0.952","-0.84","0.857","0.02","1","0.04","0.976","0.02","0.997","0.03","1","291.67","0.908"
"12","D_Sp_int2 - E_Sp_old","4","-1.71","0.992","-1.01","1","4.15","0.985","-11.88","0.897","-0.33","0.799","-9.17","0.014","0.03","1","-0.54","0.19","-0.16","0.871","-3.75","0.021","0.33","0.993","1.12","0.722","0.3","0.644","0.09","0.778","0.11","0.69","1.75","0.595","-405","0.792"
