"","Env","Df","carnivore","bacterivore","fungivore","herbivore","omnivore"
"1","(Intercept)","1","0.819","0.063","0.592","0.382","0.588"
"2","age_class","4","0.844","0.401","0.742","0.308","0.256"
"3","samcam","1","0.601","0.731","0.3","0.726","0.83"
"4","pH","1","0.98","0.589","0.856","0.965","0.498"
"5","c","1","0.951","0.718","0.311","0.836","0.823"
"6","mc","1","0.102","0.935","0.069","0.702","0.221"
"7","clay","1","0.831","0.759","0.538","0.229","0.343"
"8","intensity","1","0.275","0.657","0.889","0.33","0.119"
"9","fertilisation","1","0.195","0.804","0.021","0.664","0.477"
"10","ata1","1","0.376","0.639","0.628","0.808","0.996"
"11","prec1","1","0.603","0.578","0.042","0.524","0.054"
"12","age_class:samcam","4","0.635","0.09","0.001","0.583","0.779"
